read_alias	original_read_name	run_accession	spot_id	read_number	split_fastq_record_number	source_fastq_header
SRR28984805.553438/1	ebbad7ef-6332-4614-9447-10c0c631f2f8	SRR28984805	553438	1	2555	@SRR28984805.553438/1 original_name=ebbad7ef-6332-4614-9447-10c0c631f2f8
SRR28984805.553704/1	ee4eb78d-3f75-4550-a788-3cf0e514858b	SRR28984805	553704	1	2556	@SRR28984805.553704/1 original_name=ee4eb78d-3f75-4550-a788-3cf0e514858b
SRR28984805.553893/1	f33ed7d5-097a-4477-9db3-171824293050	SRR28984805	553893	1	2557	@SRR28984805.553893/1 original_name=f33ed7d5-097a-4477-9db3-171824293050
SRR28984805.553933/1	467d3472-4712-4221-9ce6-23220f89f133	SRR28984805	553933	1	2558	@SRR28984805.553933/1 original_name=467d3472-4712-4221-9ce6-23220f89f133
SRR28984805.554078/1	53ec1924-1740-48d1-8330-2d67c5f4e32b	SRR28984805	554078	1	2559	@SRR28984805.554078/1 original_name=53ec1924-1740-48d1-8330-2d67c5f4e32b
SRR28984805.554179/1	0faa2182-79a7-447c-8e34-9ae2fcd5287c	SRR28984805	554179	1	2560	@SRR28984805.554179/1 original_name=0faa2182-79a7-447c-8e34-9ae2fcd5287c
SRR28984805.554203/1	ac722df1-6a45-4a05-9b28-b4594644a240	SRR28984805	554203	1	2561	@SRR28984805.554203/1 original_name=ac722df1-6a45-4a05-9b28-b4594644a240
SRR28984805.554381/1	a924c714-0864-48ef-8f4f-2a6007989917	SRR28984805	554381	1	2562	@SRR28984805.554381/1 original_name=a924c714-0864-48ef-8f4f-2a6007989917
SRR28984805.554637/1	2ad3b12b-18e2-46cb-b8dd-f33dca0862b7	SRR28984805	554637	1	2563	@SRR28984805.554637/1 original_name=2ad3b12b-18e2-46cb-b8dd-f33dca0862b7
SRR28984805.554648/1	a8c19c00-1e22-4d4d-884f-129deb54d676	SRR28984805	554648	1	2564	@SRR28984805.554648/1 original_name=a8c19c00-1e22-4d4d-884f-129deb54d676
SRR28984805.555136/1	55a7ff1c-c644-47c5-871f-4f1e375a4c8a	SRR28984805	555136	1	2565	@SRR28984805.555136/1 original_name=55a7ff1c-c644-47c5-871f-4f1e375a4c8a
SRR28984805.555825/1	841f8c0c-de87-4c08-b98d-c9ee6e41ff36	SRR28984805	555825	1	2566	@SRR28984805.555825/1 original_name=841f8c0c-de87-4c08-b98d-c9ee6e41ff36
SRR28984805.556002/1	cda490e1-cba2-490f-be69-834ef184938d	SRR28984805	556002	1	2567	@SRR28984805.556002/1 original_name=cda490e1-cba2-490f-be69-834ef184938d
SRR28984805.556019/1	e7b9f2b5-65b8-4249-a601-9c6147b6facb	SRR28984805	556019	1	2568	@SRR28984805.556019/1 original_name=e7b9f2b5-65b8-4249-a601-9c6147b6facb
SRR28984805.556071/1	e74d22e0-9cad-4ea0-a37b-a8e179b7321a	SRR28984805	556071	1	2569	@SRR28984805.556071/1 original_name=e74d22e0-9cad-4ea0-a37b-a8e179b7321a
SRR28984805.556446/1	f1acd1f2-43e4-4288-9f7e-972a1680e877	SRR28984805	556446	1	2570	@SRR28984805.556446/1 original_name=f1acd1f2-43e4-4288-9f7e-972a1680e877
SRR28984805.557082/1	5ca4923b-7d7a-4ff0-a0fd-646434e6da13	SRR28984805	557082	1	2571	@SRR28984805.557082/1 original_name=5ca4923b-7d7a-4ff0-a0fd-646434e6da13
SRR28984805.557817/1	2295f583-82c0-4514-b09f-8058da38f77b	SRR28984805	557817	1	2572	@SRR28984805.557817/1 original_name=2295f583-82c0-4514-b09f-8058da38f77b
SRR28984805.558014/1	da5ae34d-6b29-4571-ad92-394ceed9b580	SRR28984805	558014	1	2573	@SRR28984805.558014/1 original_name=da5ae34d-6b29-4571-ad92-394ceed9b580
SRR28984805.558133/1	a8af026c-a091-4fc0-80d0-13b32167e121	SRR28984805	558133	1	2574	@SRR28984805.558133/1 original_name=a8af026c-a091-4fc0-80d0-13b32167e121
SRR28984805.558208/1	1a2ae6f8-58e7-4dcf-ae7f-70d86c077091	SRR28984805	558208	1	2575	@SRR28984805.558208/1 original_name=1a2ae6f8-58e7-4dcf-ae7f-70d86c077091
SRR28984805.558370/1	4d94e59e-cf1a-4767-89e0-1ec89e479779	SRR28984805	558370	1	2576	@SRR28984805.558370/1 original_name=4d94e59e-cf1a-4767-89e0-1ec89e479779
SRR28984805.558765/1	ef030b0e-08df-428d-8c68-9710ca30b297	SRR28984805	558765	1	2577	@SRR28984805.558765/1 original_name=ef030b0e-08df-428d-8c68-9710ca30b297
SRR28984805.559195/1	041e5240-d654-494f-9d89-32f914477169	SRR28984805	559195	1	2578	@SRR28984805.559195/1 original_name=041e5240-d654-494f-9d89-32f914477169
SRR28984805.559210/1	bced01ca-f062-44da-a66c-c78a19dfa960	SRR28984805	559210	1	2579	@SRR28984805.559210/1 original_name=bced01ca-f062-44da-a66c-c78a19dfa960
SRR28984805.559596/1	8cf21540-cbd6-4f1c-92cf-661f7634f466	SRR28984805	559596	1	2580	@SRR28984805.559596/1 original_name=8cf21540-cbd6-4f1c-92cf-661f7634f466
SRR28984805.559657/1	0e2d8be4-1f0c-4e5c-ad24-ca60959ff4e4	SRR28984805	559657	1	2581	@SRR28984805.559657/1 original_name=0e2d8be4-1f0c-4e5c-ad24-ca60959ff4e4
SRR28984805.559685/1	9a035c97-6368-44cb-b360-ad9eba64e478	SRR28984805	559685	1	2582	@SRR28984805.559685/1 original_name=9a035c97-6368-44cb-b360-ad9eba64e478
SRR28984805.560140/1	1532d6f5-4dff-4e44-95d0-fa4c1ac222f6	SRR28984805	560140	1	2583	@SRR28984805.560140/1 original_name=1532d6f5-4dff-4e44-95d0-fa4c1ac222f6
SRR28984805.560397/1	08678e7e-dcaa-4392-8cca-859b61d0a025	SRR28984805	560397	1	2584	@SRR28984805.560397/1 original_name=08678e7e-dcaa-4392-8cca-859b61d0a025
SRR28984805.560452/1	cb0bab35-ff1a-4e5d-a182-e1c9f40eea6f	SRR28984805	560452	1	2585	@SRR28984805.560452/1 original_name=cb0bab35-ff1a-4e5d-a182-e1c9f40eea6f
SRR28984805.561006/1	8f87d9c6-c1f3-45bf-9338-e56b48d63f43	SRR28984805	561006	1	2586	@SRR28984805.561006/1 original_name=8f87d9c6-c1f3-45bf-9338-e56b48d63f43
SRR28984805.561046/1	1eb446f2-8f2b-4d9a-9df0-dea767f938b5	SRR28984805	561046	1	2587	@SRR28984805.561046/1 original_name=1eb446f2-8f2b-4d9a-9df0-dea767f938b5
SRR28984805.561502/1	0b74eeec-6042-4101-8f3b-09b36988a13e	SRR28984805	561502	1	2588	@SRR28984805.561502/1 original_name=0b74eeec-6042-4101-8f3b-09b36988a13e
SRR28984805.561747/1	482ac4c0-fa9a-404f-a695-1f7d19d10157	SRR28984805	561747	1	2589	@SRR28984805.561747/1 original_name=482ac4c0-fa9a-404f-a695-1f7d19d10157
SRR28984805.561995/1	b9fe855b-a4dc-46fb-970d-82b86bd29516	SRR28984805	561995	1	2590	@SRR28984805.561995/1 original_name=b9fe855b-a4dc-46fb-970d-82b86bd29516
SRR28984805.562217/1	60f67512-2377-428d-825a-5cb65daeff35	SRR28984805	562217	1	2591	@SRR28984805.562217/1 original_name=60f67512-2377-428d-825a-5cb65daeff35
SRR28984805.562296/1	b3f9b6e4-fa69-4915-a22f-43c4e2783222	SRR28984805	562296	1	2592	@SRR28984805.562296/1 original_name=b3f9b6e4-fa69-4915-a22f-43c4e2783222
SRR28984805.562583/1	df9c349d-6ea9-4b58-bb4c-a2258b0b877f	SRR28984805	562583	1	2593	@SRR28984805.562583/1 original_name=df9c349d-6ea9-4b58-bb4c-a2258b0b877f
SRR28984805.562730/1	894fb824-8c77-490e-bfe4-d4962788876c	SRR28984805	562730	1	2594	@SRR28984805.562730/1 original_name=894fb824-8c77-490e-bfe4-d4962788876c
SRR28984805.563778/1	e841a445-55cf-49f6-b7c6-c5f46bef7e19	SRR28984805	563778	1	2595	@SRR28984805.563778/1 original_name=e841a445-55cf-49f6-b7c6-c5f46bef7e19
SRR28984805.563923/1	b6cc6ce0-966f-4b28-b607-64d735761ba2	SRR28984805	563923	1	2596	@SRR28984805.563923/1 original_name=b6cc6ce0-966f-4b28-b607-64d735761ba2
SRR28984805.564182/1	8d5143e3-25b0-49b3-8a8b-8e190cf1014c	SRR28984805	564182	1	2597	@SRR28984805.564182/1 original_name=8d5143e3-25b0-49b3-8a8b-8e190cf1014c
SRR28984805.565143/1	3ca30419-7770-41d1-9446-002d3d35ccf1	SRR28984805	565143	1	2598	@SRR28984805.565143/1 original_name=3ca30419-7770-41d1-9446-002d3d35ccf1
SRR28984805.565331/1	595f818d-a253-47c1-83b9-6749e0fbba4f	SRR28984805	565331	1	2599	@SRR28984805.565331/1 original_name=595f818d-a253-47c1-83b9-6749e0fbba4f
SRR28984805.565451/1	1be30bc1-2c51-45fb-b23c-ebf675282dcf	SRR28984805	565451	1	2600	@SRR28984805.565451/1 original_name=1be30bc1-2c51-45fb-b23c-ebf675282dcf
SRR28984805.565670/1	a39b066d-3be1-4211-bbde-0fab434e4cc6	SRR28984805	565670	1	2601	@SRR28984805.565670/1 original_name=a39b066d-3be1-4211-bbde-0fab434e4cc6
SRR28984805.566145/1	db6271ef-d55b-411e-895b-b8edf4718fd7	SRR28984805	566145	1	2602	@SRR28984805.566145/1 original_name=db6271ef-d55b-411e-895b-b8edf4718fd7
SRR28984805.566235/1	86b1ccc1-28ad-4ef7-adbf-4073184cc5c1	SRR28984805	566235	1	2603	@SRR28984805.566235/1 original_name=86b1ccc1-28ad-4ef7-adbf-4073184cc5c1
SRR28984805.566576/1	ca9ef11f-6d6d-4d9f-a117-0bd5feeec24a	SRR28984805	566576	1	2604	@SRR28984805.566576/1 original_name=ca9ef11f-6d6d-4d9f-a117-0bd5feeec24a
SRR28984805.566612/1	b509d46d-d1d1-4597-8d2b-90e26596f6f2	SRR28984805	566612	1	2605	@SRR28984805.566612/1 original_name=b509d46d-d1d1-4597-8d2b-90e26596f6f2
SRR28984805.566681/1	bcc719ab-b837-443d-9deb-feb06122ec7f	SRR28984805	566681	1	2606	@SRR28984805.566681/1 original_name=bcc719ab-b837-443d-9deb-feb06122ec7f
SRR28984805.566714/1	79671b73-56a8-438e-b20c-20b715046c4c	SRR28984805	566714	1	2607	@SRR28984805.566714/1 original_name=79671b73-56a8-438e-b20c-20b715046c4c
SRR28984805.566837/1	09750f02-a359-49bf-8ef1-e0c95ba65446	SRR28984805	566837	1	2608	@SRR28984805.566837/1 original_name=09750f02-a359-49bf-8ef1-e0c95ba65446
SRR28984805.567355/1	7333695d-067d-4200-94e7-d3a87ee68227	SRR28984805	567355	1	2609	@SRR28984805.567355/1 original_name=7333695d-067d-4200-94e7-d3a87ee68227
SRR28984805.567709/1	01dbe2bd-7678-4444-aa08-3ba7593baafd	SRR28984805	567709	1	2610	@SRR28984805.567709/1 original_name=01dbe2bd-7678-4444-aa08-3ba7593baafd
SRR28984805.567748/1	f66b4ba4-c364-437f-ba9e-019955d7c3b4	SRR28984805	567748	1	2611	@SRR28984805.567748/1 original_name=f66b4ba4-c364-437f-ba9e-019955d7c3b4
SRR28984805.567755/1	baa702bc-8b7b-4d25-96bd-4af3f90f837b	SRR28984805	567755	1	2612	@SRR28984805.567755/1 original_name=baa702bc-8b7b-4d25-96bd-4af3f90f837b
SRR28984805.568138/1	1357bd12-7170-4efc-af60-ea9356714716	SRR28984805	568138	1	2613	@SRR28984805.568138/1 original_name=1357bd12-7170-4efc-af60-ea9356714716
SRR28984805.568374/1	2cee43cb-7e9c-4896-8981-35d380a19fcd	SRR28984805	568374	1	2614	@SRR28984805.568374/1 original_name=2cee43cb-7e9c-4896-8981-35d380a19fcd
SRR28984805.568618/1	301a78ad-5a87-4a3c-885b-0febf4bc6839	SRR28984805	568618	1	2615	@SRR28984805.568618/1 original_name=301a78ad-5a87-4a3c-885b-0febf4bc6839
SRR28984805.568663/1	f96c57aa-67f6-46cb-97b1-8a28f1dc9fc0	SRR28984805	568663	1	2616	@SRR28984805.568663/1 original_name=f96c57aa-67f6-46cb-97b1-8a28f1dc9fc0
