pair_id	hic_contact_enrichment	hic_feature	hic_n_replicates	hic_n_bin_pairs	hic_partial_enrichment	hic_status	hic_qc_reasons	hic_assembly	hic_resolution
4921507P07Rik:5430402O13Rik			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4921524J17Rik:Mylk3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930430E12Rik:Tmsb4x			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930440I19Rik:Gnas			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930445E18Rik:9230109A22Rik			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930455G09Rik:Rplp0			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930455G09Rik:Tmem51			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930471E15Rik:Fam120b			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930471E15Rik:Wdr20rt			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4930589L23Rik:Fnip2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4931422A03Rik:Lmo2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4932438A13Rik:Ccna2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4933406I18Rik:Psma1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4933412E12Rik:Ylpm1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4933434E20Rik:Gstm1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4933439K11Rik:Cfap45			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5031415H12Rik:Tgif1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5031439G07Rik:S100a4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5033421B08Rik:Ldah			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5430402O13Rik:4921507P07Rik			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5430402O13Rik:Frrs1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5430405H02Rik:Rab5if			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5730409E04Rik:Ndufs5-ps			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5830408C22Rik:Rbmxl1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5830418P13Rik:Gm16252			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5830432E09Rik:Ctsb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
5830444B04Rik:Gabrd			0	0		unavailable	no_probe_coordinates	GRCm39	500000
6330562C20Rik:Ahcyl2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
6330562C20Rik:Mindy1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
6330562C20Rik:Slc15a4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
6430548M08Rik:Cox5a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
6720427I07Rik:Epsti1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9030407P20Rik:Ccl5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9130401M01Rik:C1qc			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9230109A22Rik:Gm35996			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9330175E14Rik:Capg			0	0		unavailable	no_probe_coordinates	GRCm39	500000
