pair_id	parent_a	parent_b	parent_a_ids	parent_b_ids	species	assembly	annotation	in_probe_panel	reported_nanostring_support	short_read_reported_support	cross_reported_support	long_read_support	sample_count	sample_count_status	assay_tested	assay_qc_status	exclusion_reason	source_ids	source_url	evidence_tier	primary_reference	rna_evidence_unit	sequence_audit_status	source_candidates_path	source_candidates_sha256	support_table_path	support_table_sha256	support_table_sheet	nanostring_source_cell	short_read_source_cell	support_table_url
Erlec1:Psme4	Erlec1	Psme4	ENSMUSG00000020311.18	ENSMUSG00000040850.18	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	2		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A93	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Ermard:Gm35455	Ermard	Gm35455	ENSMUSG00000036552.20	ENSMUSG00000116655.2	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	3		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A94	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Fam110a:Gm14154	Fam110a	Gm14154	ENSMUSG00000027459.17	ENSMUSG00000087004.2	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	8		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A95	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Fam220a:Cyth3	Fam220a	Cyth3	ENSMUSG00000118332.2;ENSMUSG00000083012.10	ENSMUSG00000018001.19	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A96	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Fars2:Gm46409	Fars2	Gm46409	ENSMUSG00000021420.14	ENSMUSG00000114851.2	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	5		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A97	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Fcer1g:B2m	Fcer1g	B2m	ENSMUSG00000058715.12	ENSMUSG00000060802.9	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	6		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A98	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Fndc3a:Itm2b	Fndc3a	Itm2b	ENSMUSG00000033487.15	ENSMUSG00000022108.9	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	2		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A99	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Foxn3:Tdp1	Foxn3	Tdp1	ENSMUSG00000033713.13	ENSMUSG00000021177.17	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A100	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Foxo3:Snx3	Foxo3	Snx3	ENSMUSG00000048756.12	ENSMUSG00000019804.13	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A101	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Frrs1:Blnk	Frrs1	Blnk	ENSMUSG00000033386.11	ENSMUSG00000061132.14	Mus musculus	GRCm39	GENCODE M28	True	True	False	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x	NanoString_only	True	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7	B21		https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Fth1:Ddx5	Fth1	Ddx5	ENSMUSG00000024661.8	ENSMUSG00000020719.15	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A102	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Ftl1:Acod1	Ftl1	Acod1	ENSMUSG00000050708.17	ENSMUSG00000022126.7	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A103	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Ftl1:Ccl5	Ftl1	Ccl5	ENSMUSG00000050708.17	ENSMUSG00000035042.3	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	13		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A104	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Ftl1:Jund	Ftl1	Jund	ENSMUSG00000050708.17	ENSMUSG00000071076.9	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A105	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
Ftl1:Rps14	Ftl1	Rps14	ENSMUSG00000050708.17	ENSMUSG00000024608.12	Mus musculus	GRCm39	GENCODE M28	False	False	True	False	1		unavailable_read_to_sample_mapping	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	short_read_only	False	ordered_gene_pair	not_audited_for_campaign	results/dataset_reconstruction/candidates.tsv	50a3dbce8e15446e75fc66e6656fed385fc923abb8a005919c04630afa305ac2	data/raw/41586_2026_10982_MOESM9_ESM.xlsx	6edb01e329d622100da30c47cd8eeaf7589a325d2ab94fb06f27c0f088a7f131	Supplemental Table 7		A106	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-026-10982-x/MediaObjects/41586_2026_10982_MOESM9_ESM.xlsx
