method,k,candidates,known_positives,expected_supported_at_k,known_positive_recall_at_k,tie_breaking_lower_95,tie_breaking_upper_95,threshold_tie_candidates,interval_meaning
Reported short-read support,32,378,86,14.078651685393258,0.16370525215573556,12.0,17.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,33,378,86,14.286516853932584,0.1661222889992161,12.0,17.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,34,378,86,14.49438202247191,0.16853932584269662,12.0,17.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,35,378,86,14.702247191011235,0.17095636268617714,12.0,18.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,36,378,86,14.910112359550562,0.1733733995296577,12.0,18.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,37,378,86,15.117977528089888,0.17579043637313824,12.0,18.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,38,378,86,15.325842696629213,0.17820747321661876,13.0,19.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,39,378,86,15.53370786516854,0.1806245100600993,13.0,19.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,40,378,86,15.741573033707866,0.18304154690357982,13.0,19.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,41,378,86,15.94943820224719,0.18545858374706034,13.0,20.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,42,378,86,16.157303370786515,0.18787562059054086,13.0,20.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,43,378,86,16.365168539325843,0.19029265743402143,13.0,20.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,44,378,86,16.573033707865168,0.19270969427750195,13.0,20.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,45,378,86,16.780898876404493,0.19512673112098247,13.0,21.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,46,378,86,16.98876404494382,0.19754376796446305,14.0,21.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,47,378,86,17.196629213483146,0.19996080480794357,14.0,21.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,48,378,86,17.40449438202247,0.20237784165142408,14.0,21.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,49,378,86,17.6123595505618,0.20479487849490463,14.0,22.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,50,378,86,17.820224719101123,0.20721191533838515,14.0,22.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,51,378,86,18.028089887640448,0.20962895218186567,14.0,22.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,52,378,86,18.235955056179776,0.21204598902534624,14.0,23.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,53,378,86,18.4438202247191,0.21446302586882676,14.0,23.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,54,378,86,18.651685393258425,0.21688006271230728,15.0,23.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,55,378,86,18.859550561797754,0.21929709955578783,15.0,23.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,56,378,86,19.06741573033708,0.22171413639926835,15.0,24.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,57,378,86,19.275280898876403,0.22413117324274887,15.0,24.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,58,378,86,19.48314606741573,0.22654821008622944,15.0,24.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,59,378,86,19.691011235955056,0.22896524692970996,15.0,24.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,60,378,86,19.89887640449438,0.23138228377319048,16.0,25.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,61,378,86,20.10674157303371,0.23379932061667102,16.0,25.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,62,378,86,20.314606741573034,0.23621635746015154,16.0,25.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,63,378,86,20.52247191011236,0.23863339430363206,16.0,25.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,64,378,86,20.730337078651687,0.24105043114711264,16.0,26.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,65,378,86,20.93820224719101,0.24346746799059316,16.0,26.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,66,378,86,21.146067415730336,0.24588450483407367,16.0,26.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,67,378,86,21.353932584269664,0.24830154167755422,17.0,27.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,68,378,86,21.56179775280899,0.25071857852103474,17.0,27.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,69,378,86,21.769662921348313,0.2531356153645153,17.0,27.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,70,378,86,21.97752808988764,0.25555265220799583,17.0,27.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,71,378,86,22.185393258426966,0.2579696890514764,17.0,28.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,72,378,86,22.39325842696629,0.26038672589495687,17.0,28.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,73,378,86,22.60112359550562,0.2628037627384374,18.0,28.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,74,378,86,22.808988764044944,0.26522079958191797,18.0,28.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,75,378,86,23.01685393258427,0.26763783642539846,18.0,29.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,76,378,86,23.224719101123597,0.27005487326887906,18.0,29.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,77,378,86,23.43258426966292,0.27247191011235955,18.0,29.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,78,378,86,23.640449438202246,0.2748889469558401,18.0,29.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,79,378,86,23.848314606741575,0.27730598379932064,19.0,30.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,80,378,86,24.0561797752809,0.27972302064280113,19.0,30.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,81,378,86,24.264044943820224,0.2821400574862817,19.0,30.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,82,378,86,24.471910112359552,0.28455709432976223,19.0,30.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,83,378,86,24.679775280898877,0.2869741311732428,19.0,30.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,84,378,86,24.8876404494382,0.28939116801672327,19.0,31.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,85,378,86,25.09550561797753,0.2918082048602038,20.0,31.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,86,378,86,25.303370786516854,0.29422524170368436,20.0,31.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,87,378,86,25.51123595505618,0.29664227854716485,20.0,31.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,88,378,86,25.719101123595507,0.29905931539064545,20.0,32.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,89,378,86,25.926966292134832,0.30147635223412594,20.0,32.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,90,378,86,26.134831460674157,0.3038933890776065,20.0,32.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,91,378,86,26.342696629213485,0.30631042592108704,21.0,32.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,92,378,86,26.55056179775281,0.30872746276456753,21.0,33.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,93,378,86,26.758426966292134,0.3111444996080481,21.0,33.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,94,378,86,26.966292134831463,0.3135615364515286,21.0,33.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,95,378,86,27.174157303370787,0.31597857329500917,21.0,33.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,96,378,86,27.382022471910112,0.31839561013848966,21.0,34.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,97,378,86,27.58988764044944,0.32081264698197026,22.0,34.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,98,378,86,27.797752808988765,0.32322968382545075,22.0,34.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,99,378,86,28.00561797752809,0.3256467206689313,22.0,34.0,356,95% variability from random tie-breaking; not biological confidence
Reported short-read support,100,378,86,28.213483146067414,0.3280637575124118,22.0,35.0,356,95% variability from random tie-breaking; not biological confidence
