method,k,candidates,known_positives,expected_supported_at_k,known_positive_recall_at_k,tie_breaking_lower_95,tie_breaking_upper_95,threshold_tie_candidates,interval_meaning
Random selection,47,378,86,10.693121693121693,0.12433862433862433,6.0,16.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,48,378,86,10.920634920634921,0.12698412698412698,6.0,16.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,49,378,86,11.148148148148149,0.12962962962962965,6.0,17.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,50,378,86,11.375661375661375,0.13227513227513227,6.0,17.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,51,378,86,11.603174603174603,0.1349206349206349,6.0,17.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,52,378,86,11.83068783068783,0.13756613756613756,7.0,17.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,53,378,86,12.058201058201059,0.1402116402116402,7.0,18.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,54,378,86,12.285714285714286,0.14285714285714288,7.0,18.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,55,378,86,12.513227513227513,0.1455026455026455,7.0,18.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,56,378,86,12.74074074074074,0.14814814814814814,7.0,19.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,57,378,86,12.968253968253968,0.15079365079365079,7.0,19.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,58,378,86,13.195767195767196,0.15343915343915346,8.0,19.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,59,378,86,13.423280423280424,0.1560846560846561,8.0,19.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,60,378,86,13.65079365079365,0.15873015873015872,8.0,20.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,61,378,86,13.878306878306878,0.16137566137566137,8.0,20.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,62,378,86,14.105820105820106,0.164021164021164,8.0,20.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,63,378,86,14.333333333333334,0.16666666666666669,9.0,20.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,64,378,86,14.56084656084656,0.1693121693121693,9.0,21.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,65,378,86,14.788359788359788,0.17195767195767195,9.0,21.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,66,378,86,15.015873015873016,0.1746031746031746,9.0,21.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,67,378,86,15.243386243386244,0.17724867724867724,9.0,21.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,68,378,86,15.470899470899472,0.1798941798941799,10.0,22.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,69,378,86,15.698412698412698,0.18253968253968253,10.0,22.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,70,378,86,15.925925925925926,0.18518518518518517,10.0,22.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,71,378,86,16.15343915343915,0.18783068783068782,10.0,23.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,72,378,86,16.38095238095238,0.19047619047619047,10.0,23.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,73,378,86,16.608465608465607,0.1931216931216931,10.0,23.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,74,378,86,16.835978835978835,0.19576719576719576,11.0,23.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,75,378,86,17.063492063492063,0.1984126984126984,11.0,24.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,76,378,86,17.29100529100529,0.20105820105820105,11.0,24.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,77,378,86,17.51851851851852,0.20370370370370372,11.0,24.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,78,378,86,17.746031746031747,0.20634920634920637,11.0,24.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,79,378,86,17.973544973544975,0.208994708994709,12.0,25.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,80,378,86,18.201058201058203,0.21164021164021166,12.0,25.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,81,378,86,18.428571428571427,0.21428571428571427,12.0,25.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,82,378,86,18.656084656084655,0.21693121693121692,12.0,25.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,83,378,86,18.883597883597883,0.21957671957671956,12.0,26.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,84,378,86,19.11111111111111,0.2222222222222222,13.0,26.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,85,378,86,19.33862433862434,0.22486772486772486,13.0,26.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,86,378,86,19.566137566137566,0.22751322751322753,13.0,26.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,87,378,86,19.793650793650794,0.23015873015873017,13.0,27.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,88,378,86,20.021164021164022,0.23280423280423282,13.0,27.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,89,378,86,20.24867724867725,0.23544973544973546,14.0,27.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,90,378,86,20.476190476190474,0.23809523809523808,14.0,27.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,91,378,86,20.703703703703702,0.24074074074074073,14.0,28.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,92,378,86,20.93121693121693,0.24338624338624337,14.0,28.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,93,378,86,21.158730158730158,0.24603174603174602,14.0,28.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,94,378,86,21.386243386243386,0.24867724867724866,15.0,28.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,95,378,86,21.613756613756614,0.25132275132275134,15.0,29.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,96,378,86,21.841269841269842,0.25396825396825395,15.0,29.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,97,378,86,22.06878306878307,0.2566137566137566,15.0,29.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,98,378,86,22.296296296296298,0.2592592592592593,15.0,29.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,99,378,86,22.523809523809526,0.2619047619047619,16.0,30.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,100,378,86,22.75132275132275,0.26455026455026454,16.0,30.0,378,95% variability from random tie-breaking; not biological confidence
Long-read support,1,378,86,1.0,0.011627906976744186,1.0,1.0,1,95% variability from random tie-breaking; not biological confidence
Long-read support,2,378,86,1.6666666666666665,0.01937984496124031,1.0,2.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,3,378,86,2.333333333333333,0.02713178294573643,1.0,3.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,4,378,86,3.0,0.03488372093023256,2.0,4.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,5,378,86,3.6666666666666665,0.04263565891472868,2.0,5.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,6,378,86,4.333333333333334,0.05038759689922481,3.0,6.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,7,378,86,5.0,0.05813953488372093,3.0,7.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,8,378,86,5.666666666666667,0.06589147286821706,4.0,7.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,9,378,86,6.333333333333333,0.07364341085271317,5.0,8.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,10,378,86,7.0,0.08139534883720931,6.0,8.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,11,378,86,7.666666666666667,0.08914728682170543,7.0,9.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,12,378,86,8.333333333333332,0.09689922480620154,8.0,9.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,13,378,86,9.0,0.10465116279069768,9.0,9.0,12,95% variability from random tie-breaking; not biological confidence
Long-read support,14,378,86,9.210958904109589,0.10710417330359986,9.0,10.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,15,378,86,9.421917808219177,0.10955718381650206,9.0,11.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,16,378,86,9.632876712328766,0.11201019432940426,9.0,11.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,17,378,86,9.843835616438357,0.11446320484230647,9.0,12.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,18,378,86,10.054794520547945,0.11691621535520867,9.0,12.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,19,378,86,10.265753424657534,0.11936922586811086,9.0,12.0,365,95% variability from random tie-breaking; not biological confidence
