pair_id	log_read_support	sample_count	is_interchromosomal	log_genomic_distance	hic_feature
1810013L24Rik:Pmm2	0.6931471805599453		0	12.029538310417822	1.889075422808494
4833420G17Rik:Zfp951	0.6931471805599453		1	0.0	
Abca1:Pgm1	0.6931471805599453		0	17.65768426098747	0.6775821669506834
Abca3:Nek2	0.6931471805599453		1	0.0	1.3628582066710981
Abca3:Nup205	0.6931471805599453		1	0.0	0.996160608482473
Abcc5:Clic5	0.6931471805599453		1	0.0	0.8629447288905319
Abcc5:Oas1a	0.6931471805599453		1	0.0	1.4714052697317155
Abl2:Soat1	0.6931471805599453		0	11.34398596766953	
Abr:Pitpna	0.6931471805599453		0	13.577165801554337	4.388297443936032
Acbd5:Eif6	0.6931471805599453		0	18.703271248845084	0.3375694990541434
Acod1:Cd86	0.6931471805599453		1	0.0	1.2548439045372037
Acod1:Gm34643	1.0986122886681098		0	10.022203486241112	
Acp2:Renbp	0.6931471805599453		1	0.0	3.6802484143349075
Acsl4:Tmem164	0.6931471805599453		0	12.580638586842769	2.2434344627805287
Actr2:Nf1	0.6931471805599453		0	17.89588477104309	1.2939942254911745
Actr3:Pla2g4a	0.6931471805599453		0	17.007709949770863	0.5380302179029823
Adam10:Mta3	0.6931471805599453		1	0.0	1.1099616793103768
Adam8:Tyrobp	0.6931471805599453		0	18.510903788013582	0.7573171585725017
Adgre1:Pals2	0.6931471805599453		1	0.0	1.7812605386239952
Adprm:Emc2	0.6931471805599453		1	0.0	0.9294485877068606
Aff4:Cdc42se2	0.6931471805599453		0	14.074504534000152	1.4526856535783375
Afg3l2:Cndp2	0.6931471805599453		0	16.654784850250397	0.734566520265373
Agl:Brk1	0.6931471805599453		1	0.0	1.1706632306167732
Ammecr1:Rab9	0.6931471805599453		0	16.972107748891837	0.6078431906611593
Ampd3:Hapln3	0.6931471805599453		0	17.26824505761992	0.8204849085465052
Ankfy1:Ube2g1	0.6931471805599453		0	8.167919362957816	
Ankrd33b:Chd4	0.6931471805599453		1	0.0	1.0264930048607444
Aoah:Blcap	0.6931471805599453		1	0.0	1.5374592577523603
Aoah:Sirt5	1.0986122886681098		0	16.92001588783016	2.3484411270180727
Aopep:Akr1e1	0.6931471805599453		0	17.883742723095484	
Aopep:Sdha	0.6931471805599453		0	16.213084324539604	0.8413800756887441
Ap5z1:Blvrb	0.6931471805599453		1	0.0	0.04879053514103184
App:Opa1	0.6931471805599453		0	17.827792785549693	1.0643009025835377
Appbp2:Bcas3	0.6931471805599453		0	11.67876188550432	
Arhgap10:Mrps28	0.6931471805599453		1	0.0	0.7085813328785868
Arhgap30:Csnk1g3	0.6931471805599453		1	0.0	0.5885752315379922
Arid5b:Nampt	0.6931471805599453		1	0.0	1.687788349096682
Arl5b:4930455G09Rik	0.6931471805599453		1	0.0	0.6267805648189771
Arrb1:C2cd3	0.6931471805599453		0	13.548236158489782	1.634203516938371
Arrb1:Cnot7	0.6931471805599453		1	0.0	1.532153096276244
Ash2l:Hgsnat	0.6931471805599453		0	11.479988964723963	
Asl:Cct6a	0.6931471805599453		0	12.013021734523134	1.7647285287940517
Asph:Rab2a	0.6931471805599453		0	13.641504729461612	1.9176918248906634
Atp1b3:Mthfs	0.6931471805599453		0	15.754963187763321	0.24276823650719198
Atp2b1:Hnrnpdl	0.6931471805599453		1	0.0	0.7789266258494312
Atp2b1:Spata6	0.6931471805599453		1	0.0	0.5118868774165053
Atp6v0a1:Akr1a1	0.6931471805599453		1	0.0	1.9691803074092054
Atp8a1:Tmem33	0.6931471805599453		0	12.696736377472211	2.834892337126358
Atxn7l1:Mir99ahg	0.6931471805599453		1	0.0	1.1520282519538618
B4galt5:Zfas1	0.6931471805599453		0	12.35700242955136	4.0786184273151225
Babam2:Mrpl33	0.6931471805599453		0	10.413342705547674	
Bbx:Ntan1	0.6931471805599453		0	17.408949381265522	0.8871347606371958
Bin1:Ndufs8	0.6931471805599453		1	0.0	
Birc6:Samhd1	0.6931471805599453		1	0.0	1.6925867986497785
Btaf1:Atp8b4	0.6931471805599453		1	0.0	1.5368750463281373
Cacna1d:Ninj1	0.6931471805599453		1	0.0	0.9743493343916428
Car5b:Gm20658	0.6931471805599453		1	0.0	0.5025668314531596
Ccdc97:Ddrgk1	0.6931471805599453		1	0.0	1.9183625728147362
Cd274:Lacc1	0.6931471805599453		1	0.0	1.0851548431075608
Cd36:Ppp1cb	0.6931471805599453		0	16.491202085507513	0.2586434810047063
Cd86:Atp5c1	0.6931471805599453		1	0.0	0.6964871241700775
Cdk18:Spcs2	0.6931471805599453		1	0.0	1.3988713429545114
Chchd3:1810058I24Rik	0.6931471805599453		0	14.600505111545768	1.0812764310954277
Chd1:Ttc27	0.6931471805599453		0	17.89358778836244	0.7942772241683308
Cisd2:Ddrgk1	0.6931471805599453		1	0.0	0.4057904379262582
Clcc1:Sars	0.6931471805599453		0	12.24867705061252	3.546533887705823
Clcn7:Psmb9	0.6931471805599453		0	16.014942031645692	1.029327580700699
Clic5:Tnip3	0.6931471805599453		1	0.0	1.3053716899254209
