timestamp,name,utilization_gpu_percent,memory_used_mib,power_draw_w
2026/09/19 22:38:39.941, NVIDIA A100-SXM4-80GB, 0, 1, 74.84
2026/09/19 22:38:40.964, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:38:41.986, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:43.015, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:44.043, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:45.072, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:46.102, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:47.131, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:48.160, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:49.190, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:50.219, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:51.245, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:38:52.267, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:38:53.290, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:54.319, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:55.348, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:56.378, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:57.407, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:58.435, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:38:59.464, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:00.494, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:01.878, NVIDIA A100-SXM4-80GB, 0, 1, 61.56
2026/09/19 22:39:02.905, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:39:03.928, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:39:04.958, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:05.985, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:07.014, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:08.044, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:09.074, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:10.103, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:11.132, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:12.161, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:13.188, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:39:14.211, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:39:15.234, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:16.263, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:17.294, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:18.323, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:19.352, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:20.381, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:21.411, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:22.439, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:23.468, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:24.494, NVIDIA A100-SXM4-80GB, 0, 1, 75.77
2026/09/19 22:39:25.517, NVIDIA A100-SXM4-80GB, 0, 1, 75.77
2026/09/19 22:39:26.539, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:27.567, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:28.596, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:29.622, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:30.649, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:31.678, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:32.707, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:33.735, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:35.024, NVIDIA A100-SXM4-80GB, 0, 1, 61.56
2026/09/19 22:39:36.051, NVIDIA A100-SXM4-80GB, 0, 1, 76.09
2026/09/19 22:39:37.075, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:39:38.104, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:39.133, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:40.161, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:41.191, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:42.220, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:43.248, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:44.277, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:45.305, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:46.331, NVIDIA A100-SXM4-80GB, 0, 1, 75.17
2026/09/19 22:39:47.353, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:39:48.375, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:49.403, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:39:50.432, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:51.462, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:52.490, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:53.519, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:39:54.547, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:55.576, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:56.605, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:39:57.630, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:39:58.650, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:39:59.673, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:00.701, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:01.729, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:02.758, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:03.787, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:04.816, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:05.845, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:06.874, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:08.144, NVIDIA A100-SXM4-80GB, 0, 1, 61.56
2026/09/19 22:40:09.168, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:40:10.190, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:11.219, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:12.248, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:13.277, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:14.308, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:15.337, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:16.365, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:17.394, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
