timestamp,name,utilization_gpu_percent,memory_used_mib,power_draw_w
2026/09/19 22:44:55.231, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:44:56.254, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:44:57.276, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:44:58.304, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:44:59.332, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:00.357, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:01.386, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:02.416, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:03.442, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:04.471, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:05.501, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:06.527, NVIDIA A100-SXM4-80GB, 0, 1, 75.17
2026/09/19 22:45:07.550, NVIDIA A100-SXM4-80GB, 0, 1, 75.17
2026/09/19 22:45:08.572, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:09.602, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:10.632, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:11.662, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:12.692, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:13.721, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:14.751, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:15.780, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:17.088, NVIDIA A100-SXM4-80GB, 0, 1, 68.83
2026/09/19 22:45:18.112, NVIDIA A100-SXM4-80GB, 0, 1, 64.00
2026/09/19 22:45:19.137, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:20.167, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:21.196, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:22.225, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:23.254, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:24.283, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:25.312, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:26.342, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:27.371, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:28.397, NVIDIA A100-SXM4-80GB, 0, 1, 62.80
2026/09/19 22:45:29.421, NVIDIA A100-SXM4-80GB, 0, 1, 63.08
2026/09/19 22:45:30.444, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:31.473, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:32.502, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:33.531, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:34.560, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:35.590, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:36.619, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:37.648, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:38.677, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:39.703, NVIDIA A100-SXM4-80GB, 0, 1, 67.90
2026/09/19 22:45:40.726, NVIDIA A100-SXM4-80GB, 0, 1, 67.90
2026/09/19 22:45:41.748, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:42.777, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:43.807, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:44.836, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:45.867, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:46.896, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:47.925, NVIDIA A100-SXM4-80GB, 0, 1, 53.75
2026/09/19 22:45:48.954, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:45:50.303, NVIDIA A100-SXM4-80GB, 0, 1, 61.56
2026/09/19 22:45:51.327, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
