pair_id	parabricks_support	parabricks_read_ids	parabricks_status	run_accession	assembly
Gsdmd:Tmem106a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
H2-Q7:Tmem179b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Hmbox1:Emc4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Hnrnpll:Galm	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Hsd17b4:Wdr36	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ifngr2:Parp14	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Il7r:Pygm	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Iqgap1:Dusp10	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Itgav:AI182371	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Itsn1:Gm34342	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Kansl1:Lsm12	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Kat5:Capg	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Knstrn:Ralgapa2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Large1:Rpia	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ldlrad3:1700012C14Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Lncpint:Gt(ROSA)26Sor	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Lrp1:Mndal	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Map3k2:St14	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mapkapk3:Rftn1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Marchf8:Dcp1b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Med15:Eif4g1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mertk:Laptm4a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mink1:Crat	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mink1:Tmem65	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mpdu1:Hk3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ms4a7:Cog6	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mtx1:1810009A15Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Myo1b:Atp6v1h	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Myo1g:Jmjd1c	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nav1:Cd84	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nckap1l:Fuca1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nedd4l:Lman1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nfat5:Arhgap10	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nod1:Lyn	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Npc1:Slx4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Npepps:Mocs2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nudt3:Anks1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ogdh:Rabep1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Osbpl8:Spty2d1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Osbpl9:Acot7	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pacc1:Atf3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Parp11:Lyn	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pdap1:Atp5j2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pgap2:Tnip3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pigt:Cd63	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pik3ap1:Prdx1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pkp4:Hacd1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Plekhm2:Map4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pmm2:Morf4l1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Por:Ctsl	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ppard:Mapk14	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ppp2r5c:Ddx24	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Prpf39:Mrps9	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Psmc2:Pmpcb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ptpn6:Ptms	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ptprj:Tlcd2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rab31:Ppp4r1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rac1:Reep5	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rasa3:Rab20	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rbks:Babam2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rcbtb2:Itm2b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ric1:Ppcdc	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rnf130:Abhd12	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rnf130:Plcl2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rtf1:Rmdn3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Runx1:Mrps6	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Sec22b:Rap1a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Septin7:Tmem120a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Sf3b1:Gpnmb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Sh3gl1:Nnt	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Sh3pxd2b:Rab2a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Sh3tc1:C1qb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Slc23a2:Ppp1r1c	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Slc25a13:Sem1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Smad4:Dym	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Snd1:Lmf1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Snrnp200:Kansl2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Soat1:Topbp1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Sppl2a:Psma3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Srpk1:Esd	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ssh1:Ifi204	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Stau2:Eloc	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Stxbp3:Asb6	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tanc2:Rnaset2b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tbc1d23:Xdh	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tbxas1:Bpgm	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tgm2:1110038F14Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tm9sf2:Mad1l1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tmcc3:Tnip3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tmem134:H2-Q4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tmem67:Chaserr	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tnfrsf1b:Prxl2b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tomm70a:Ltn1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Trappc10:Lyz2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Trim25:Atox1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Trim30c:Gm15133	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Tspan31:Nup88	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Txlng:Sms	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ube2g1:Skap2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ubxn2b:Nsmaf	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ufsp2:Oas1g	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Uty:Csnk1g3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Uxt:Pi4k2a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Vezt:Tmem19	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Vps13d:Cmpk1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Vsir:Dctn6	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Wasl:Chchd3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Wdr41:Tbca	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Wdyhv1:Prdx1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Wwox:Maf	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ypel2:Capg	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Zbtb17:Dhrs3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Zcchc8:Sars	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Zfp266:Ly6a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Zfp386:Gm20658	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Zfp704:Mrps28	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Zkscan17:Sp3os	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
4833420G17Rik:Zfp951	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Abca1:Pgm1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Abca3:Nek2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Abcc5:Clic5	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Abl2:Soat1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Acbd5:Eif6	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Acp2:Renbp	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Actr2:Nf1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Adam10:Mta3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Adgre1:Pals2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Aff4:Cdc42se2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ankfy1:Ube2g1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Aoah:Blcap	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Aopep:Akr1e1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ap5z1:Blvrb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
App:Opa1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Arhgap10:Mrps28	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Arid5b:Nampt	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Arrb1:C2cd3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ash2l:Hgsnat	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Asph:Rab2a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Atp2b1:Hnrnpdl	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Atp2b1:Spata6	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Atp8a1:Tmem33	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
B4galt5:Zfas1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Bbx:Ntan1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Bin1:Ndufs8	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Birc6:Samhd1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Btaf1:Atp8b4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Btrc:Fbxw4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Car5b:Gm20658	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cd274:Lacc1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cd86:Atp5c1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cisd2:Ddrgk1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Clic5:Tnip3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cog6:Dhx36	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Coro1b:Pitpnm1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Csf2rb2:Ncf4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cux1:Cmtm7	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cyrib:Pvt1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dennd1a:Zglp1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dhrs3:Tusc3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dnajc5:Tpd52l2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dram1:Krtcap2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ehd1:B2m	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Eif4g2:Nono	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Emilin2:Memo1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Evl:H2-Oa	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Exoc6b:Chchd3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Fkbp8:Pirb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Frrs1:Blnk	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
G3bp1:Skp1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gask1b:Sh3glb1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gle1:Stk38	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gltp:Ankrd13a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gng12:Ipo8	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gpatch8:Trp53	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gramd1a:Xdh	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gusb:Degs1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Hexa:Clk3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Hnrnph3:Ddx50	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ifnar1:Necap2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Igf2r:Oas2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Inppl1:Il18bp	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Irgm1:Ifi47	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Itpr1:Ccdc91	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Jdp2:Rnaset2b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Kansl1:Rilpl2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Khsrp:Prmt1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Kif16b:Taf4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Kmt2e:Dmxl1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Lamb3:Mul1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Lcp1:Itm2b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Lmf1:Srsf5	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Lpxn:Sem1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Macf1:Capzb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Malt1:Capg	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Map2k1:Hif1a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Map3k1:Gm47283	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mapkapk2:Arhgef2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Marchf7:Mrpl15	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mcub:Amy1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mef2a:Ftx	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mef2d:Blvrb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mertk:Aopep	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mia3:St6galnac4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mob1b:Ndufa10	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ms4a6b:Nudt19	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mtpn:Rab9	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Mx1:Wars	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Myo1e:Nbdy	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Napg:Garem1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nceh1:Siah2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ndor1:Cyhr1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nek7:Ube2d3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Notch2:Rnf115	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Npc1:Ttc39c	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Nsd1:Tipin	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Oas3:Trim34a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Osbpl8:Cpne2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Osbpl8:Znhit6	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Oxr1:Wdr70	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
P2rx4:2900089D17Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pag1:Ranbp9	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Papola:Gdap2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pcca:Lgals3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pea15a:Mtmr14	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Piezo1:Isca2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pigu:Dynlrb1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pik3r5:Spop	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pip4p2:Slc44a1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Plekhm2:4930455G09Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Plxna1:Rpap1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Polrmt:Ppp2r2a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ppm1b:Gbp5	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Prkn:Tnfrsf21	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Psap:Tspan3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Pstpip1:Lix1l	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ptprj:1110051M20Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Rab11a:Cul1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
